date,actual,goal
2018-07-29,9250,7140
2018-07-30,6392,7360
2018-07-31,5668,7270
2018-08-01,10286,6950
2018-08-02,5396,7290
2018-08-03,7667,7100
2018-08-04,4581,7160
2018-08-05,7215,6910
2018-08-06,7395,6940
2018-08-07,4319,7040
2018-08-08,5623,6770
2018-08-09,20134,6540
2018-08-10,9746,7900
2018-08-11,8088,8270
2018-08-12,7811,8260
2018-08-13,8404,8170
2018-08-14,8319,8200
2018-08-15,9623,8230
2018-08-16,11532,8510
2018-08-17,12866,9120
2018-08-18,15264,9870
2018-08-19,7928,10950
2018-08-20,7826,10650
2018-08-21,7215,10090
2018-08-22,6048,9520
2018-08-23,13348,8830
2018-08-24,9543,9290
2018-08-25,8965,9340
2018-08-26,13843,9310
2018-08-27,7699,9770
2018-08-28,7432,9570
2018-08-29,3551,9150
2018-08-30,2861,8030
2018-08-31,8196,7000
2018-09-01,9363,7120
2018-09-02,3124,7570
2018-09-03,5119,7130
2018-09-04,9180,6730
2018-09-05,7607,6980
2018-09-06,8617,7110
2018-09-07,6351,7420
2018-09-08,7370,7320
2018-09-09,11359,7330
2018-09-10,11290,8140
2018-09-11,9593,8770
2018-09-12,7976,8940
2018-09-13,11055,8850
2018-09-14,11008,9070
2018-09-15,6062,9460
2018-09-16,12171,9120
2018-09-17,11151,9430
2018-09-18,8552,9780
2018-09-19,11379,9660
2018-09-20,7726,9840
2018-09-21,11049,9630
2018-09-22,5828,9780
2018-09-23,9469,9390
2018-09-24,6616,9400
2018-09-25,11389,9130
2018-09-26,8056,9360
2018-09-27,11208,9230
2018-09-28,6934,9430
2018-09-29,9953,9180
2018-09-30,7669,9260
2018-10-01,7452,9100
2018-10-02,5036,8770
2018-10-03,11303,8030
2018-10-04,8090,8360
2018-10-05,7538,8340
2018-10-06,9758,8180
2018-10-07,8034,8340
2018-10-08,9439,8310
2018-10-09,11534,8430
2018-10-10,10273,9050
2018-10-11,10582,9300
2018-10-12,8117,9560
2018-10-13,7617,9420
2018-10-14,6301,9060
2018-10-15,7079,8510
2018-10-16,6632,8230
2018-10-17,8975,7910
2018-10-18,7336,8020
2018-10-19,8079,7960
2018-10-20,8457,7980
2018-10-21,5668,8080
2018-10-22,7954,7840
2018-10-23,6711,7860
2018-10-24,5700,7750
2018-10-25,7545,7340
2018-10-26,7992,7360
2018-10-27,10579,7490
2018-10-28,8129,8110
2018-10-29,7968,8120
2018-10-30,6177,8110
2018-10-31,7392,7730
2018-11-01,10781,7670
2018-11-02,10336,7990
2018-11-03,9968,8460
2018-11-04,8312,8770
2018-11-05,15125,8730
2018-11-06,9489,9370
2018-11-07,8466,9400
2018-11-08,12449,9310
2018-11-09,7286,9630
2018-11-10,8243,9400
2018-11-11,7090,9170
2018-11-12,8836,8760
2018-11-13,7840,8770
2018-11-14,11211,8680
2018-11-15,7271,8940
2018-11-16,6350,8780
2018-11-17,7323,8300
2018-11-18,11588,8110
2018-11-19,6180,8460
2018-11-20,7871,8240
2018-11-21,11628,8170
2018-11-22,7888,8520
2018-11-23,10532,8460
2018-11-24,11999,8670
